,Nr. crt,Zonă/ aglomerare,Indicator,Autoritate responsabilă cu realizarea planului și implementarea măsurilor,Link autoritate responsabilă
0,1.0,Municipiul Bucureşti,"nichel (Ni),dioxid de sulf (SO2),monoxid de carbon (CO), plumb (Pb),arsen (As), Cadmiu (Cd), cu excepţia indicatorilor dioxid de azot şi oxizi de azot (NO2/NOX) , particule în suspensie (PM10 și PM2,5),benzene (C6H6)",Primaria generala a municipiului București,www.pmb.ro
1,2.0,Județul Alba,"dioxid de azot şi oxizi de azot (NO2/NOX) , particule în suspensie (PM10 și PM2,5),benzene (C6H6),nichel (Ni),dioxid de sulf (SO2),monoxid de carbon (CO),plumb (Pb),arsen (As), Cadmiu (Cd), cu excepţia municipiului Sebeș pentru particule în suspensie (PM10)",Consiliul județean Alba,www.cjalba.ro
2,3.0,Județul Arad,"dioxid de azot şi oxizi de azot (NO2/NOX), particule în suspensie (PM10, PM2,5), benzene (C6H6), nichel (Ni), dioxid de sulf (ŞO2), monoxid de carbon (CO), plumb (Pb), arsen (Aş)",Consiliul județean Arad,www.cjarad.ro
3,4.0,Județul Argeș,"dioxid de azot şi oxizi de azot (NO2/NOX) , particule în suspensie (PM10 și PM2,5),benzene (C6H6),nichel (Ni),dioxid de sulf (SO2),monoxid de carbon (CO),plumb (Pb),arsen (As), Cadmiu (Cd), cu excepţia municipiului Pitești pentru particule în suspensie (PM10)",Consiliul județean Argeș,www.cjarges.ro
4,5.0,Județul Bacău,"dioxid de azot şi oxizi de azot (NO2/NOX) , particule în suspensie (PM10 și PM2,5),benzene (C6H6),nichel (Ni),dioxid de sulf (SO2),monoxid de carbon (CO),plumb (Pb),arsen (As), Cadmiu (Cd), cu excepţia municipiului Bacău pentru dioxid de azot şi oxizi de azot (NO2/NOX)",Consiliul județean Bacău,www.csjbacau.ro
5,6.0,Județul Bihor,"dioxid de azot şi oxizi de azot (NO2/NOX), particule în suspensie (PM10, PM2,5), benzene (C6H6), nichel (Ni), dioxid de sulf (ŞO2), monoxid de carbon (CO), plumb (Pb), arsen (Aş)",Consiliul județean Bihor,www.cjbihor.ro
6,7.0,Județul Bistrița,"dioxid de azot şi oxizi de azot (NO2/NOX), particule în suspensie (PM10, PM2,5), benzene (C6H6), nichel (Ni), dioxid de sulf (ŞO2), monoxid de carbon (CO), plumb (Pb), arsen (Aş)",Consiliul județean Bistrița,www.portalbn.ro
7,8.0,Județul Botoșani,"dioxid de azot şi oxizi de azot (NO2/NOX), particule în suspensie (PM10, PM2,5), benzene (C6H6), nichel (Ni), dioxid de sulf (ŞO2), monoxid de carbon (CO), plumb (Pb), arsen (Aş)",Consiliul județean Botoșani,www.cjbotosani.ro
8,9.0,Județul Brașov,"dioxid de azot şi oxizi de azot (NO2/NOX) , particule în suspensie (PM10 și PM2,5),benzene (C6H6),nichel (Ni),dioxid de sulf (SO2),monoxid de carbon (CO),plumb (Pb),arsen (As), Cadmiu (Cd), cu excepţia municipiului Braşov pentru particule în suspensie (PM10) și dioxid de azot şi oxizi de azot (NO2/NOX)",Consiliul județean Brașov,www.judbrasov.ro
9,10.0,Județul Brăila,"dioxid de azot şi oxizi de azot (NO2/NOX) , particule în suspensie (PM10 și PM2,5),benzene (C6H6),nichel (Ni),dioxid de sulf (SO2),monoxid de carbon (CO),plumb (Pb),arsen (As), Cadmiu (Cd), cu excepţia municipiului Brăila pentru dioxid de azot şi oxizi de azot (NO2/NOX)",Consiliul județean Brăila,www.portal-braila.ro
